epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.577,1.00491,0.76338,0.01544,0.70658,0.52547,0.59205,0.43512,1.16701,0.77771,0.02492,0.000249895,0.000249895,0.0502709
2,394.594,0.95838,0.74764,0.01463,0.68746,0.52647,0.60277,0.44091,1.17232,0.77547,0.02504,0.000499553,0.000499553,0.00052057
3,586.401,0.94174,0.73813,0.01436,0.568,0.59407,0.61041,0.44862,1.171,0.77455,0.02508,0.000498631,0.000498631,0.000498631
4,773.757,0.94062,0.73396,0.01432,0.62741,0.59292,0.60779,0.44745,1.17023,0.76963,0.02504,0.000496924,0.000496924,0.000496924
5,965.086,0.93971,0.73696,0.01416,0.61262,0.59738,0.59616,0.43943,1.16705,0.7743,0.025,0.00049454,0.00049454,0.00049454
6,1145.54,0.94479,0.74423,0.01426,0.62028,0.60894,0.61117,0.45017,1.17232,0.76902,0.02511,0.000491486,0.000491486,0.000491486
7,1327.84,0.93345,0.72235,0.0142,0.63575,0.58781,0.60991,0.44766,1.17434,0.77428,0.02514,0.00048777,0.00048777,0.00048777
8,1508.78,0.93422,0.72127,0.01404,0.69693,0.53008,0.60538,0.44573,1.17019,0.76889,0.02503,0.000483403,0.000483403,0.000483403
9,1693.69,0.93517,0.73103,0.01418,0.68965,0.53524,0.60208,0.44388,1.17155,0.773,0.02509,0.000478397,0.000478397,0.000478397
10,1877.52,0.93057,0.73035,0.014,0.67396,0.5421,0.6084,0.44788,1.17054,0.77571,0.02509,0.000472765,0.000472765,0.000472765
11,2064.88,0.93254,0.72452,0.01408,0.71921,0.53306,0.59826,0.439,1.17663,0.77141,0.02526,0.000466523,0.000466523,0.000466523
12,2242.04,0.92762,0.71852,0.01396,0.71146,0.53669,0.61005,0.44895,1.16867,0.77416,0.025,0.000459688,0.000459688,0.000459688
13,2429.56,0.92465,0.72076,0.01405,0.69431,0.54515,0.60109,0.44405,1.16823,0.77676,0.02494,0.000452278,0.000452278,0.000452278
14,2614.96,0.92826,0.71888,0.01402,0.70433,0.54056,0.59598,0.4391,1.17303,0.78245,0.02516,0.000444314,0.000444314,0.000444314
15,2804.71,0.92709,0.7176,0.01397,0.71682,0.53991,0.60069,0.44201,1.16911,0.78563,0.02507,0.000435818,0.000435818,0.000435818
16,3001.49,0.92454,0.70924,0.01387,0.67764,0.55524,0.59535,0.43915,1.17023,0.78522,0.02506,0.000426813,0.000426813,0.000426813
17,3203.61,0.9212,0.70643,0.01391,0.70449,0.5426,0.59529,0.44013,1.16585,0.78566,0.02493,0.000417324,0.000417324,0.000417324
18,3402.59,0.92697,0.70348,0.0139,0.70694,0.54417,0.59933,0.44286,1.16834,0.78058,0.02499,0.000407376,0.000407376,0.000407376
19,3597.1,0.92414,0.71098,0.01391,0.65627,0.58565,0.60546,0.44968,1.162,0.78845,0.02481,0.000396998,0.000396998,0.000396998
20,3791.83,0.92042,0.71107,0.01383,0.72259,0.531,0.60005,0.44273,1.16406,0.7871,0.02492,0.000386217,0.000386217,0.000386217
21,3979.88,0.91261,0.6968,0.01382,0.68482,0.55786,0.59824,0.44281,1.1631,0.79005,0.02489,0.000375063,0.000375063,0.000375063
22,4171.1,0.92534,0.70315,0.01393,0.6849,0.55283,0.5994,0.44283,1.1671,0.79064,0.0249,0.000363566,0.000363566,0.000363566
23,4358.67,0.92183,0.713,0.01389,0.71012,0.53961,0.60012,0.44198,1.1716,0.79046,0.02508,0.000351758,0.000351758,0.000351758
24,4547.89,0.92276,0.70321,0.01392,0.70541,0.54213,0.60726,0.44812,1.16835,0.7919,0.02502,0.000339672,0.000339672,0.000339672
25,4735.08,0.92042,0.70801,0.01392,0.72302,0.52843,0.60604,0.44931,1.16604,0.79466,0.02495,0.000327341,0.000327341,0.000327341
26,4923.12,0.91779,0.69593,0.01382,0.65544,0.574,0.60596,0.45049,1.1651,0.79696,0.02492,0.000314797,0.000314797,0.000314797
27,5120.87,0.91802,0.69989,0.01383,0.71105,0.53313,0.60453,0.44744,1.1654,0.79333,0.02492,0.000302077,0.000302077,0.000302077
28,5306.91,0.92054,0.69684,0.01383,0.65307,0.57388,0.60638,0.44951,1.16565,0.79137,0.02491,0.000289214,0.000289214,0.000289214
29,5490.13,0.90495,0.68743,0.01363,0.67443,0.58114,0.6069,0.4467,1.16669,0.79657,0.02497,0.000276244,0.000276244,0.000276244
30,5670.73,0.90701,0.68763,0.0136,0.67338,0.57059,0.59541,0.44039,1.16497,0.79856,0.02493,0.000263202,0.000263202,0.000263202
31,5853.35,0.91103,0.68141,0.01371,0.66642,0.57896,0.60545,0.44917,1.16327,0.79768,0.02492,0.000250125,0.000250125,0.000250125
32,6035.36,0.90826,0.6827,0.01368,0.6679,0.57592,0.60692,0.44852,1.16517,0.79397,0.02497,0.000237048,0.000237048,0.000237048
33,6216.52,0.90663,0.68263,0.01364,0.66976,0.57296,0.59204,0.4388,1.16645,0.79161,0.02504,0.000224006,0.000224006,0.000224006
