epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,413.953,0.93185,0.73746,0.0141,0.56285,0.36528,0.38362,0.28143,1.17553,0.95496,0.02555,0.0099958,0.00333193,0.0099958,0.00333193,0.0099958,0.00333193,0.0099958,0.00333193
2,730.381,0.97183,0.803,0.01493,0.56982,0.32259,0.39061,0.27868,1.22794,1.02512,0.02703,0.0199761,0.0066587,0.0199761,0.0066587,0.0199761,0.0066587,0.0199761,0.0066587
3,1016.72,1.02165,0.90087,0.01598,0.62516,0.30771,0.35105,0.24542,1.26591,1.02072,0.02788,0.0298777,0.00995922,0.0298777,0.00995922,0.0298777,0.00995922,0.0298777,0.00995922
4,1284.62,1.06021,0.98313,0.0167,0.62558,0.32021,0.35164,0.25269,1.22201,1.04178,0.0269,0.0297346,0.00991152,0.0297346,0.00991152,0.0297346,0.00991152,0.0297346,0.00991152
5,1543.73,1.06035,1.00833,0.01661,0.59613,0.32367,0.3719,0.26529,1.23156,1.01057,0.02707,0.0295292,0.00984307,0.0295292,0.00984307,0.0295292,0.00984307,0.0295292,0.00984307
6,1794.55,1.07533,1.02467,0.01691,0.69087,0.31124,0.40949,0.29014,1.25842,1.0518,0.02803,0.0292666,0.00975553,0.0292666,0.00975553,0.0292666,0.00975553,0.0292666,0.00975553
7,2042.85,1.06201,0.99699,0.01672,0.69592,0.30553,0.36228,0.25722,1.23163,0.95242,0.02705,0.0289477,0.00964923,0.0289477,0.00964923,0.0289477,0.00964923,0.0289477,0.00964923
8,2289.76,1.05998,1.00229,0.01659,0.63106,0.3483,0.37016,0.25742,1.26388,0.95505,0.02824,0.0285738,0.00952461,0.0285738,0.00952461,0.0285738,0.00952461,0.0285738,0.00952461
9,2540.66,1.0648,1.00211,0.01671,0.44859,0.35566,0.36166,0.2508,1.21387,1.00058,0.02658,0.0281465,0.00938215,0.0281465,0.00938215,0.0281465,0.00938215,0.0281465,0.00938215
10,2793.86,1.05829,0.99932,0.01653,0.66951,0.31811,0.37354,0.26493,1.24421,0.98756,0.02747,0.0276673,0.00922242,0.0276673,0.00922242,0.0276673,0.00922242,0.0276673,0.00922242
11,3051.18,1.05684,0.98437,0.01647,0.62857,0.33842,0.38629,0.2772,1.21735,0.9793,0.02671,0.0271381,0.00904604,0.0271381,0.00904604,0.0271381,0.00904604,0.0271381,0.00904604
12,3306.13,1.05289,0.96391,0.01636,0.63171,0.31494,0.384,0.27304,1.23037,0.95069,0.02731,0.0265611,0.00885371,0.0265611,0.00885371,0.0265611,0.00885371,0.0265611,0.00885371
13,3567.2,1.04922,0.96357,0.01651,0.62524,0.33345,0.37799,0.26397,1.2259,0.95136,0.02744,0.0259386,0.0086462,0.0259386,0.0086462,0.0259386,0.0086462,0.0259386,0.0086462
14,3816.27,1.04558,0.94847,0.01634,0.55751,0.36927,0.36935,0.26071,1.19427,0.90893,0.02604,0.0252729,0.00842431,0.0252729,0.00842431,0.0252729,0.00842431,0.0252729,0.00842431
15,4060.77,1.04273,0.95053,0.01624,0.63259,0.36381,0.40721,0.28493,1.2124,0.92996,0.02654,0.0245668,0.00818893,0.0245668,0.00818893,0.0245668,0.00818893,0.0245668,0.00818893
16,4316.68,1.03934,0.93734,0.01609,0.56674,0.32159,0.36747,0.26511,1.18938,0.92221,0.026,0.023823,0.00794099,0.023823,0.00794099,0.023823,0.00794099,0.023823,0.00794099
17,4575.74,1.0335,0.90842,0.01605,0.51098,0.41159,0.42322,0.30228,1.18718,0.92689,0.02572,0.0230444,0.00768145,0.0230444,0.00768145,0.0230444,0.00768145,0.0230444,0.00768145
18,4831.93,1.03012,0.88956,0.01592,0.68816,0.31501,0.41163,0.29315,1.19502,0.95587,0.0262,0.0222341,0.00741136,0.0222341,0.00741136,0.0222341,0.00741136,0.0222341,0.00741136
19,5097.7,1.02851,0.89799,0.0159,0.61144,0.38629,0.41342,0.29917,1.19297,0.91996,0.02612,0.0213953,0.00713177,0.0213953,0.00713177,0.0213953,0.00713177,0.0213953,0.00713177
20,5365.64,1.01922,0.88365,0.01567,0.55618,0.35734,0.40693,0.29145,1.19622,0.92464,0.0263,0.0205313,0.00684378,0.0205313,0.00684378,0.0205313,0.00684378,0.0205313,0.00684378
21,5620.98,1.00922,0.85393,0.01562,0.52889,0.38235,0.40779,0.29262,1.19213,0.90982,0.02622,0.0196456,0.00654854,0.0196456,0.00654854,0.0196456,0.00654854,0.0196456,0.00654854
22,5878.41,1.01267,0.85786,0.01561,0.66055,0.35567,0.41806,0.30579,1.18305,0.94212,0.02578,0.0187416,0.00624721,0.0187416,0.00624721,0.0187416,0.00624721,0.0187416,0.00624721
23,6136.39,1.0054,0.84889,0.01546,0.65979,0.3847,0.41941,0.30434,1.18577,0.93974,0.02616,0.0178229,0.00594097,0.0178229,0.00594097,0.0178229,0.00594097,0.0178229,0.00594097
24,6405.68,1.004,0.81806,0.01541,0.54095,0.39522,0.43259,0.32243,1.16989,0.94049,0.02537,0.0168931,0.00563104,0.0168931,0.00563104,0.0168931,0.00563104,0.0168931,0.00563104
25,6668.43,0.99119,0.80937,0.01522,0.56985,0.39462,0.43113,0.30829,1.18726,0.89727,0.02572,0.0159559,0.00531864,0.0159559,0.00531864,0.0159559,0.00531864,0.0159559,0.00531864
26,6939.24,0.98027,0.78554,0.01494,0.62764,0.36716,0.42554,0.30829,1.17853,0.95223,0.02566,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005
27,7191.74,0.97344,0.78682,0.01485,0.60454,0.38205,0.41832,0.30506,1.16728,0.95258,0.02528,0.0140741,0.00469136,0.0140741,0.00469136,0.0140741,0.00469136,0.0140741,0.00469136
28,7442.23,0.97621,0.75964,0.01482,0.57122,0.39288,0.42742,0.31935,1.17386,0.92489,0.02549,0.0131369,0.00437896,0.0131369,0.00437896,0.0131369,0.00437896,0.0131369,0.00437896
29,7688.09,0.95022,0.73798,0.01447,0.47967,0.39763,0.41992,0.30348,1.17214,0.95263,0.02542,0.0122071,0.00406903,0.0122071,0.00406903,0.0122071,0.00406903,0.0122071,0.00406903
30,7936.32,0.94224,0.72637,0.01421,0.57747,0.39214,0.4358,0.32026,1.16004,0.98235,0.02517,0.0112884,0.00376279,0.0112884,0.00376279,0.0112884,0.00376279,0.0112884,0.00376279
31,8198.42,0.93866,0.71454,0.01419,0.59496,0.38436,0.43991,0.32406,1.16276,0.96744,0.02534,0.0103844,0.00346146,0.0103844,0.00346146,0.0103844,0.00346146,0.0103844,0.00346146
