epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,431.055,1.33972,5.12302,0.02578,0.46286,0.31856,0.31294,0.17172,1.4666,1.62687,0.0364,0.00999605,0.00333202,0.00999605,0.00333202,0.00999605,0.00333202,0.00999605,0.00333202
2,727.398,1.37369,2.69187,0.02625,0.48357,0.33697,0.36691,0.20343,1.52066,1.47487,0.03783,0.0199948,0.00666494,0.0199948,0.00666494,0.0199948,0.00666494,0.0199948,0.00666494
3,1000.48,1.45022,2.19571,0.02838,0.5459,0.30204,0.32859,0.19627,1.41947,1.77319,0.03513,0.0299887,0.00999624,0.0299887,0.00999624,0.0299887,0.00999624,0.0299887,0.00999624
4,1257.44,1.48494,2.14208,0.02861,0.62814,0.36077,0.40493,0.25856,1.39273,1.40615,0.03312,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,1520.92,1.44012,1.9929,0.02754,0.65514,0.40063,0.40668,0.25154,1.42299,1.52271,0.03403,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,1777.4,1.40224,1.89979,0.02656,0.71014,0.42775,0.47588,0.2976,1.37743,1.28756,0.03288,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,2029.2,1.39517,1.82645,0.026,0.64276,0.40703,0.4548,0.29291,1.33002,1.27299,0.03129,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,2285.64,1.36815,1.76647,0.02579,0.66214,0.3915,0.46355,0.30459,1.30549,1.24629,0.03047,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,2540.61,1.35523,1.72287,0.02535,0.59515,0.4315,0.44752,0.28089,1.31431,1.08219,0.03075,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,2800.98,1.3352,1.67413,0.02467,0.65006,0.43251,0.50074,0.33477,1.2601,1.01207,0.02916,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,3052.53,1.32499,1.63563,0.02458,0.73587,0.43199,0.50338,0.33464,1.26623,1.1168,0.02984,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,3310.43,1.31546,1.62753,0.02445,0.63849,0.43351,0.47453,0.30664,1.24169,1.05804,0.02895,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,3571.5,1.30342,1.595,0.02394,0.65974,0.44894,0.49949,0.33375,1.25217,1.09483,0.02883,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,3820.58,1.30345,1.57063,0.02393,0.63432,0.45426,0.50459,0.33311,1.25126,1.00347,0.02902,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,4070.38,1.29439,1.5363,0.02388,0.6715,0.45663,0.50591,0.34647,1.20675,0.97938,0.02732,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,4329.02,1.28227,1.52181,0.02348,0.77464,0.45038,0.53262,0.36289,1.22062,0.93276,0.02805,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,4582.95,1.27285,1.51582,0.02336,0.57536,0.53335,0.53819,0.35855,1.20445,0.9259,0.02757,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,4839.16,1.26941,1.48341,0.02322,0.68001,0.44903,0.54908,0.37635,1.18975,0.91167,0.02684,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,5101.59,1.26636,1.47094,0.0231,0.64354,0.53593,0.55221,0.37922,1.20515,0.91522,0.02733,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,5361.53,1.25959,1.45588,0.02295,0.7395,0.47935,0.58845,0.40511,1.19808,0.90005,0.02711,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,5614.68,1.25646,1.44951,0.02295,0.69836,0.4828,0.57503,0.39313,1.20926,0.85565,0.02765,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,5872.29,1.25105,1.45866,0.02272,0.70376,0.49189,0.57529,0.39878,1.18143,0.84451,0.02676,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,6126.68,1.25127,1.43512,0.02258,0.70402,0.48085,0.54533,0.37285,1.18778,0.87486,0.02723,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,6393.72,1.24029,1.42786,0.02265,0.69109,0.4709,0.52828,0.36834,1.16634,0.8812,0.02625,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,6674.93,1.23567,1.42406,0.02253,0.70462,0.49256,0.56999,0.40655,1.12649,0.83844,0.02496,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,6958.58,1.24036,1.41603,0.0225,0.65796,0.55635,0.60252,0.41631,1.18275,0.87403,0.02672,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,7239.22,1.23186,1.40882,0.02232,0.75164,0.46998,0.59687,0.41857,1.1772,0.8469,0.02653,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,7507.08,1.22835,1.39671,0.02231,0.72478,0.50929,0.58699,0.41714,1.16859,0.80416,0.02629,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,7774.23,1.22964,1.38907,0.02223,0.57177,0.57097,0.59724,0.42729,1.1501,0.82539,0.02564,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,8043.01,1.21786,1.37182,0.02211,0.71707,0.51601,0.57516,0.40939,1.14731,0.82909,0.02551,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
