epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,412.057,1.2913,5.13891,0.02465,0.42791,0.28689,0.28783,0.17439,1.3668,1.59094,0.03183,0.00999605,0.00333202,0.00999605,0.00333202,0.00999605,0.00333202,0.00999605,0.00333202
2,704.129,1.34514,2.66565,0.02557,0.5026,0.33408,0.37909,0.21809,1.44378,1.43611,0.0348,0.0199955,0.00666517,0.0199955,0.00666517,0.0199955,0.00666517,0.0199955,0.00666517
3,969.842,1.41442,2.1621,0.02751,0.61571,0.31484,0.31836,0.17241,1.50435,1.60013,0.03852,0.0299928,0.0099976,0.0299928,0.0099976,0.0299928,0.0099976,0.0299928,0.0099976
4,1225.73,1.4616,2.12724,0.02806,0.63608,0.35085,0.37257,0.21695,1.45796,1.40415,0.0364,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,1473.77,1.42418,1.96823,0.02713,0.63671,0.3676,0.38197,0.22735,1.4509,1.43696,0.03583,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,1723.08,1.3901,1.87178,0.02634,0.69082,0.39147,0.45237,0.26407,1.4243,1.20819,0.03453,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,1974.56,1.37678,1.81359,0.02572,0.68878,0.42284,0.46588,0.28193,1.42448,1.18118,0.03469,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,2224.99,1.35136,1.733,0.02556,0.58749,0.4646,0.49693,0.28707,1.48417,1.14327,0.0363,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,2480.47,1.34054,1.69269,0.02503,0.65792,0.41943,0.5078,0.31668,1.37467,1.08288,0.0323,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,2737.84,1.31202,1.64019,0.02428,0.60559,0.46699,0.4842,0.30702,1.38582,1.02437,0.03216,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,2994.17,1.3112,1.60587,0.02423,0.6868,0.42482,0.49069,0.32079,1.32948,1.0176,0.03067,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,3247.93,1.30253,1.58524,0.0242,0.62301,0.43413,0.45465,0.27491,1.35896,1.05055,0.03209,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,3501.38,1.29693,1.57024,0.02383,0.66668,0.46896,0.50495,0.33294,1.30991,0.96284,0.02995,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,3755.22,1.28113,1.53502,0.02353,0.69754,0.47756,0.55368,0.35551,1.31453,0.92153,0.03072,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,4012.15,1.27747,1.50919,0.02347,0.71591,0.43941,0.50396,0.33171,1.26628,0.93641,0.02915,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,4267.4,1.26091,1.48879,0.0231,0.73169,0.46138,0.56544,0.36158,1.31289,0.93743,0.03068,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,4519.06,1.26573,1.46957,0.02318,0.67368,0.4979,0.53385,0.34667,1.28339,0.87538,0.02956,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,4765.28,1.25611,1.47646,0.02297,0.71687,0.47615,0.55521,0.37282,1.23492,0.88125,0.02802,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,5019.84,1.24728,1.44756,0.02281,0.70449,0.46638,0.53942,0.36044,1.23316,0.87325,0.02797,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,5275.04,1.24064,1.42824,0.02267,0.70547,0.47161,0.55019,0.38704,1.18663,0.88293,0.02627,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
