epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,451.433,1.16734,5.27316,0.01928,0.23661,0.17008,0.16366,0.10445,1.27049,1.68912,0.02819,0.0099958,0.00333193,0.0099958,0.00333193,0.0099958,0.00333193,0.0099958,0.00333193
2,761.505,1.22429,2.68623,0.02035,0.29572,0.17685,0.19206,0.11855,1.38198,1.65635,0.03269,0.0195999,0.00653329,0.0195999,0.00653329,0.0195999,0.00653329,0.0195999,0.00653329
3,1032.94,1.31193,2.00438,0.02218,0.44802,0.18673,0.1837,0.11144,1.47481,1.72649,0.03448,0.028808,0.00960265,0.028808,0.00960265,0.028808,0.00960265,0.028808,0.00960265
4,1287.69,1.35331,1.91344,0.0229,0.54503,0.19529,0.21093,0.13161,1.39879,1.50438,0.03255,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1540.55,1.32536,1.75566,0.02206,0.62304,0.27596,0.27423,0.18269,1.41286,1.41159,0.03198,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1798.68,1.29703,1.64257,0.02124,0.65174,0.23823,0.28217,0.18816,1.36762,1.22407,0.03096,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2061.39,1.25743,1.55919,0.0203,0.55366,0.28265,0.27441,0.18312,1.35908,1.22299,0.03145,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2324.47,1.24651,1.49164,0.02031,0.64975,0.26979,0.30131,0.20396,1.35309,1.1524,0.03021,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2573.93,1.23246,1.44796,0.01987,0.6763,0.26897,0.31106,0.21259,1.30877,1.20099,0.02959,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2827.13,1.21032,1.39757,0.01967,0.64456,0.28077,0.30103,0.20856,1.27061,1.03101,0.02874,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3088.64,1.19967,1.35638,0.01921,0.64885,0.29979,0.32566,0.23128,1.27697,1.0296,0.02848,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
