epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,432.139,1.16245,4.99109,0.01905,0.3619,0.23225,0.24115,0.15052,1.3348,1.75635,0.03038,0.0099958,0.00333193,0.0099958,0.00333193,0.0099958,0.00333193,0.0099958,0.00333193
2,730.446,1.23908,2.43502,0.02067,0.51249,0.31845,0.31337,0.19767,1.35728,1.51631,0.03153,0.0199924,0.00666413,0.0199924,0.00666413,0.0199924,0.00666413,0.0199924,0.00666413
3,998.926,1.33897,1.93483,0.0228,0.63954,0.30862,0.33883,0.19786,1.51463,1.54031,0.03715,0.0299754,0.00999182,0.0299754,0.00999182,0.0299754,0.00999182,0.0299754,0.00999182
4,1250.73,1.37647,1.89017,0.02334,0.52384,0.37966,0.36634,0.23939,1.43734,1.48183,0.03391,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
5,1505.11,1.33911,1.73945,0.02218,0.6783,0.361,0.41258,0.25879,1.45773,1.26167,0.03401,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
6,1760.26,1.31102,1.6421,0.02154,0.67768,0.37288,0.41277,0.26924,1.39559,1.17893,0.03195,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765
7,2020.37,1.27928,1.53942,0.02103,0.66771,0.36812,0.40285,0.26313,1.35501,1.1348,0.03107,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
8,2280.35,1.27036,1.47217,0.02072,0.70259,0.39024,0.48117,0.32787,1.329,1.12036,0.03066,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711
9,2542.17,1.25916,1.43296,0.02046,0.7722,0.37581,0.44762,0.3057,1.32367,1.08113,0.03023,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
10,2807.39,1.23746,1.40038,0.01993,0.65972,0.41328,0.45741,0.30975,1.30644,0.98707,0.02933,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
11,3062.75,1.22743,1.36812,0.01981,0.67952,0.40816,0.50435,0.35193,1.27955,1.01852,0.02876,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
12,3308.56,1.21016,1.32322,0.01939,0.74143,0.41982,0.48044,0.3316,1.30055,0.99838,0.02964,0.0293885,0.00979616,0.0293885,0.00979616,0.0293885,0.00979616,0.0293885,0.00979616
13,3563.27,1.20831,1.30243,0.01959,0.70315,0.39889,0.47061,0.32526,1.28462,0.9771,0.02873,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
14,3825.56,1.19713,1.27868,0.01918,0.60803,0.48735,0.49739,0.34333,1.27162,0.93258,0.02867,0.0291482,0.00971608,0.0291482,0.00971608,0.0291482,0.00971608,0.0291482,0.00971608
15,4085.13,1.18893,1.25267,0.01904,0.72525,0.41383,0.50286,0.34701,1.23712,0.98306,0.02739,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
16,4349.39,1.17965,1.22177,0.01869,0.63423,0.48906,0.51436,0.35529,1.26936,0.94814,0.02879,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
17,4596.9,1.17583,1.20494,0.01873,0.63454,0.50006,0.51708,0.36241,1.25598,0.88991,0.02806,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
18,4850.61,1.1783,1.19098,0.01868,0.72051,0.43076,0.53437,0.37705,1.23783,0.90054,0.02723,0.0285534,0.0095178,0.0285534,0.0095178,0.0285534,0.0095178,0.0285534,0.0095178
19,5101.31,1.16853,1.19424,0.01851,0.68836,0.44105,0.52081,0.3667,1.23562,0.91648,0.0271,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
20,5351.97,1.15774,1.1783,0.01833,0.61027,0.49986,0.53251,0.3623,1.25475,0.87498,0.02794,0.0282004,0.00940014,0.0282004,0.00940014,0.0282004,0.00940014,0.0282004,0.00940014
21,5613.79,1.1434,1.15889,0.01822,0.6977,0.45422,0.55409,0.39551,1.22002,0.89467,0.02677,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
22,5862.25,1.16146,1.14268,0.01836,0.75208,0.44256,0.57758,0.40285,1.23502,0.8413,0.02751,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
23,6112.25,1.14413,1.14393,0.01807,0.70693,0.46356,0.57828,0.4148,1.22473,0.82749,0.02704,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
24,6367.92,1.14359,1.12354,0.01812,0.69884,0.49725,0.55554,0.39739,1.21436,0.83599,0.02642,0.0273883,0.00912942,0.0273883,0.00912942,0.0273883,0.00912942,0.0273883,0.00912942
